"feature","start","end","dominant","pvalue"
"72342654",3,5,"Heavy",0.044
"723426202",1,3,"Heavy",0.018
"723426230",1,4,"Heavy",0.0168888888888889
"723426350",1,2,"Heavy",0.032
"723426362",2,5,"Heavy",0.0466666666666667
"723426989",1,3,"Heavy",0.0413333333333333
"723426989",4,5,"Heavy",0.0413333333333333
"7234265637",1,2,"Heavy",0.036
"7234266068",1,2,"Heavy",0.048
