"feature","start","end","dominant","pvalue"
"g__Lachnospiraceae_ND3007_group",1,4,"Heavy",0.026
"g__Barnesiella",1,5,"Heavy",0.0285
"g__Escherichia-Shigella",1,2,"Heavy",0.048
"g__Allisonella",4,5,"Light",0.04
"g__Bilophila",1,2,"Heavy",0.0306666666666667
"g__Bilophila",3,5,"Heavy",0.0306666666666667
